ref,delegator,delegated_ksm,conviction,share_of_chaosdao_delegated_capital
659,HRpKDCCzKMvkmU4o3dEvtk4SQt1dzjFqjDHR1ouNhe1x1bF,0.02,2,0.0
659,H9wKUbGEwkd8HZptFnfwzxvfhicre1vJTwxHhG4W39Hhbqt,0.01,0,0.0
659,DXYZDV1ocjFihWfiqs5cKJzvvmxbpbURLXWH4ge3RdrVwXB,0.01,0,0.0
659,FcGDWDScXAYx1wTVg4654EAmVn1Hv2i5dr68sYH41KcdZVW,0.01,4,0.0
659,JHjTR5sJALfqH4kW2GGnbDi9UqBu8jZYD2BvHULE2Yb1PLo,0.01,3,0.0
659,HA4Rjed1RDuA4YVuWpxeJbfhisXCVUwTKUcoBTg4kRV5RXm,0.01,3,0.0
659,D2zcMV1NS5ZFJvsyXs8dE57jQJ5xic7ySPsHN6ABNuXXpYU,0.01,0,0.0
659,FohU9AY9aGpTownLc1u7kKdFeBYGyZqSd621UVgDNE6RQn4,0.0,6,0.0
659,H9oSxcoo42GNqH8gsGufwU6wT5vKrdb6voKwW7S2Z5uiRq6,0.0,6,0.0
659,GtiM6BuXiiB1DSxs5fnWGiHxn7Kjynmw7UJDeUorf6VR362,0.0,6,0.0
659,FvjjueXPekf3xgAjEjqMa5wYwS2uBCAoWYX2q8xHmWhMXhd,0.0,6,0.0
659,Ew3XXB1tKN235sR8QAvYwGBrgfGToxPBY7W4vb5waR5foHf,0.0,6,0.0
659,EieSRwcKqpGMmXBFLRTx99D83PYMaGV9up6Qezzs2zkh7LM,0.0,6,0.0
659,EfcWHeoWEGtYjZWiTEtXNzwBmrhCqcKvSkgsYmMyysH4REw,0.0,3,0.0
659,CfcP57Ay3Uu1kHpCZNmWXMYBQu5XDACSx47EaY13xf4g2pT,0.0,3,0.0
627,HqbM2RFKy1yyDQJTNpDreiaddaMFXfj1ymWA1sAapqbMhJq,80000.0,3,0.9087
627,Gr1u9zfZ9yjNEHytzi8KcAFoVo7DUWssWuDPmhvf87A1EjG,4500.0,4,0.0511
627,EG5FpzEAsgJxdc5xS8qFX9yKDnpn2sNqTSPr1v54sUr8E8F,2900.0,4,0.0329
627,CaRRtraR9jdDmRA7HtbBWdswnTM11cRiTemDMsy1D2h2aLR,610.0,0,0.0069
627,JCoHBV9niYT9GyBxAcw6H8BSkzfTLi4KK4Kfw62vj2kq2gt,12.09,4,0.0001
627,HsqjddXcYDzmyoP45LP4Sn5K584P7r4YLpxX34xfpZdiiZr,5.0,3,0.0001
627,HsnrAsLAaG2hjjR5JN3ovx6n9v6fTxJ7UJMicgPiY9kX1mi,5.0,3,0.0001
627,G4K7JzBRnKJLt2AmAjwtT5YEo1rXVJNCqcdb8Q9joYhkNc8,2.61,1,0.0
627,GPZkNLKkvLUdzBdExDK2Ci9UEx8mf895dTSoEZ76VUWgAVs,0.1,0,0.0
627,EPk8HXreeNMnEPwykFF9EcHg1QQdgPM3Y2gcs45qvmrb2ip,0.1,0,0.0
627,DQuQpWgGQQXNZ8sqotbRwMgYNG4PMsTLyQc9KkV4m9nuBcC,0.1,0,0.0
627,H9wKUbGEwkd8HZptFnfwzxvfhicre1vJTwxHhG4W39Hhbqt,0.01,0,0.0
627,DXYZDV1ocjFihWfiqs5cKJzvvmxbpbURLXWH4ge3RdrVwXB,0.01,0,0.0
627,GRGrQZEEshZyRWxgJ7v63Pnk8gsUhqZ8MW2JKpfcf9cR4pg,0.01,0,0.0
627,D2zcMV1NS5ZFJvsyXs8dE57jQJ5xic7ySPsHN6ABNuXXpYU,0.01,0,0.0
